frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
134,4.4667,113.3908,128.4029,0.036916,0.035676,0.020947,0.004673,2.494339,0
135,4.5,117.5252,131.1404,0.032744,0.024076,0.020996,0.12856,8.238987,0
136,4.5333,117.882,131.1308,0.032597,0.023295,0.020927,0.021872,3.821079,0
137,4.5667,118.1635,131.0816,0.032183,0.022687,0.02107,0.022234,4.488146,0
138,4.6,118.6088,131.0419,0.032054,0.022034,0.02108,0.024184,3.754216,0
139,4.6333,118.3738,131.0901,0.030608,0.015218,0.021089,0.029671,6.768146,0
140,4.6667,114.9662,131.1305,0.035367,0.022351,0.036505,0.110908,6.281847,0
141,4.7,111.8746,130.6997,0.036822,0.025227,0.033225,0.080664,0.894525,0
142,4.7333,110.9188,130.1212,0.03672,0.024743,0.031462,0.032701,0.271115,0
143,4.7667,111.0099,130.0054,0.037805,0.03187,0.031166,0.037493,0.257809,0
144,4.8,111.0541,129.9266,0.036903,0.028806,0.031526,0.037274,0.161943,0
145,4.8333,111.0242,130.0668,0.037376,0.031386,0.030984,0.03486,0.077254,0
146,4.8667,110.9952,129.8717,0.037488,0.031702,0.028502,0.033365,0.107419,0
147,4.9,110.9946,129.8229,0.037453,0.031524,0.029556,0.032641,0.07927,0
148,4.9333,111.0426,129.7812,0.037389,0.031366,0.02961,0.025322,0.029394,0
149,4.9667,111.021,129.8174,0.037418,0.031509,0.029605,0.025242,0.021039,0
150,5.0,115.9112,122.5029,0.032547,0.026982,0.028645,0.074706,3.885297,0
151,5.0333,117.3691,120.5694,0.029782,0.024165,0.028132,0.038487,3.299089,0
152,5.0667,118.7148,118.4793,0.030088,0.024011,0.028384,0.049106,3.974421,0
153,5.1,118.7174,118.5128,0.030029,0.024011,0.028384,0.008376,0.031694,0
154,5.1333,118.6991,118.4872,0.029988,0.023962,0.028384,0.006942,3.177827,0
155,5.1667,118.7029,118.5384,0.030011,0.023977,0.028467,0.005009,0.014217,0
156,5.2,118.2708,119.2294,0.030636,0.023987,0.028955,0.018922,4.437257,0
157,5.2333,118.2677,119.254,0.030651,0.024046,0.028901,0.005668,4.192996,0
158,5.2667,118.2652,119.2578,0.030497,0.024046,0.028925,0.00361,4.19133,0
159,5.3,118.2657,119.2613,0.030452,0.024041,0.028901,0.004067,4.188365,0
160,5.3333,118.2588,119.2679,0.030479,0.024041,0.028901,0.002158,4.192533,0
161,5.3667,118.2592,119.2739,0.03047,0.024066,0.028886,0.004177,4.188378,0
162,5.4,118.26,119.2741,0.030484,0.024066,0.02893,0.002204,4.188661,0
163,5.4333,118.263,119.2977,0.030485,0.024091,0.02893,0.003493,4.19066,0
164,5.4667,113.8186,125.9515,0.031977,0.025682,0.028817,0.071636,8.259356,0
165,5.5,111.2606,129.6621,0.031861,0.027649,0.028137,0.039662,8.004037,0
166,5.5333,108.4997,134.691,0.034888,0.02934,0.029605,0.041155,7.197097,0
167,5.5667,108.1877,135.0094,0.036311,0.02891,0.029684,0.027113,2.565559,0
168,5.6,107.5596,136.0319,0.036974,0.030491,0.029955,0.01953,0.415667,0
169,5.6333,107.562,136.0085,0.036874,0.030531,0.029841,0.00704,0.021731,0
170,5.6667,107.5436,136.0297,0.036978,0.030615,0.029832,0.004385,0.012208,0
171,5.7,107.5318,136.0357,0.036972,0.030541,0.029679,0.006544,0.013645,0
172,5.7333,107.5312,136.0348,0.03715,0.030704,0.029708,0.005453,0.015702,0
173,5.7667,107.5114,136.0563,0.037083,0.030709,0.029777,0.004482,0.012417,0
174,5.8,107.5075,136.0792,0.036933,0.03057,0.029787,0.00498,0.012367,0
175,5.8333,107.4986,136.1036,0.03648,0.030684,0.029733,0.004163,0.011531,0
176,5.8667,107.4799,136.1534,0.036375,0.030714,0.029718,0.005214,0.012968,0
177,5.9,107.4765,136.1668,0.036431,0.030842,0.029807,0.002787,0.011323,0
178,5.9333,107.4803,136.1829,0.036029,0.030872,0.02958,0.0049,0.014047,0
179,5.9667,107.4641,136.2557,0.035626,0.030877,0.02958,0.006427,0.013141,0
180,6.0,107.4524,136.342,0.035543,0.030916,0.029615,0.005836,0.011937,0
181,6.0333,107.447,136.369,0.035527,0.030976,0.0296,0.003163,0.010294,0
182,6.0667,107.4699,136.3403,0.035473,0.030986,0.029497,0.003001,0.013199,0
183,6.1,107.4486,136.373,0.035486,0.030951,0.02958,0.003291,0.00969,0
184,6.1333,107.4474,136.3682,0.035379,0.030916,0.029561,0.003481,0.010899,0
185,6.1667,107.4445,136.3728,0.035553,0.030956,0.029659,0.005112,0.01354,0
186,6.2,107.4446,136.3744,0.035559,0.030961,0.029704,0.003988,0.008458,0
187,6.2333,107.4569,136.3631,0.035507,0.030902,0.029699,0.002646,0.007705,0
188,6.2667,107.4425,136.3864,0.035403,0.030926,0.029694,0.003363,0.009598,0
189,6.3,107.443,136.3931,0.035314,0.030926,0.029827,0.002407,0.009668,0
190,6.3333,107.442,136.401,0.03533,0.030921,0.029822,0.002405,0.008918,0
191,6.3667,107.4414,136.403,0.035323,0.030911,0.029832,0.001109,0.007965,0
192,6.4,107.4393,136.4084,0.03527,0.030857,0.029851,0.001998,0.009793,0
193,6.4333,107.4389,136.4103,0.035182,0.030872,0.029851,0.001194,0.007963,0
194,6.4667,107.4409,136.4192,0.035148,0.030872,0.029856,0.00188,0.008549,0
195,6.5,107.4524,136.4059,0.03515,0.030877,0.029841,0.002284,0.008324,0
196,6.5333,107.4381,136.4344,0.035052,0.030877,0.02993,0.002111,0.008709,0
197,6.5667,107.4398,136.439,0.035111,0.030877,0.029935,0.001178,0.008845,0
198,6.6,107.4389,136.4463,0.035069,0.030897,0.029886,0.001928,0.008739,0
199,6.6333,107.4379,136.4481,0.035114,0.030897,0.030048,0.001205,0.00881,0
200,6.6667,107.4386,136.4467,0.035038,0.030897,0.030053,0.001761,0.008761,0
201,6.7,107.4365,136.4573,0.034893,0.030906,0.030043,0.002217,0.012256,0
202,6.7333,107.4372,136.454,0.034951,0.030902,0.030043,0.002589,0.009322,0
203,6.7667,107.4365,136.4674,0.034996,0.03102,0.030063,0.002229,0.009461,0
204,6.8,107.4346,136.4771,0.03505,0.030981,0.030083,0.002561,0.007958,0
205,6.8333,107.4327,136.4832,0.035058,0.030976,0.030098,0.002465,0.008322,0
206,6.8667,107.4304,136.4936,0.035112,0.030991,0.030098,0.00119,0.00655,0
207,6.9,107.4301,136.4939,0.035066,0.030991,0.030098,0.000398,0.007267,0
208,6.9333,107.4278,136.5023,0.035028,0.030976,0.030117,0.000868,0.008018,0
209,6.9667,107.4274,136.5027,0.035024,0.030981,0.030107,0.000736,0.006802,0
210,7.0,107.4372,136.4924,0.034997,0.030976,0.030093,0.000733,0.006103,0
211,7.0333,107.4234,136.5111,0.0351,0.03102,0.030098,0.001161,0.008311,0
212,7.0667,107.4228,136.5147,0.035068,0.031065,0.030098,0.000837,0.008828,0
213,7.1,107.432,136.5032,0.035022,0.031079,0.030098,0.001161,0.007769,0
214,7.1333,107.4206,136.5239,0.034941,0.031075,0.02996,0.001264,0.008137,0
215,7.1667,107.4166,136.5336,0.034941,0.031094,0.030004,0.001196,0.00741,0
216,7.2,107.4168,136.5351,0.034992,0.031089,0.030029,0.000691,0.006817,0
217,7.2333,107.4182,136.5449,0.034987,0.031094,0.030029,0.001255,0.00796,0
218,7.2667,107.4187,136.5448,0.03497,0.031075,0.030029,0.00079,0.006783,0
219,7.3,107.4186,136.5484,0.034949,0.031075,0.030029,0.001802,0.007266,0
220,7.3333,107.4182,136.5506,0.034837,0.031075,0.030029,0.000478,0.00661,0
221,7.3667,107.4173,136.5578,0.034831,0.031075,0.030029,0.001709,0.012151,0
222,7.4,107.417,136.5583,0.034788,0.031075,0.030029,0.000519,0.007073,0
223,7.4333,107.4172,136.5579,0.034789,0.031075,0.030029,0.000244,0.0053,0
224,7.4667,107.4192,136.5532,0.034789,0.031075,0.030029,0.000431,0.007536,0
225,7.5,107.4194,136.5531,0.034787,0.031075,0.030029,0.000233,0.006607,0
226,7.5333,107.4198,136.5515,0.034798,0.031075,0.030024,0.000478,0.006013,0
227,7.5667,107.4227,136.5478,0.034766,0.03107,0.030024,0.000357,0.006791,0
