frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
96,3.2,131.1636,62.512,0.023208,0.02609,0.017542,0.004885,0.021304,0
97,3.2333,131.1341,62.541,0.023321,0.02599,0.01754,0.004944,0.037149,0
98,3.2667,131.1007,62.5087,0.023272,0.025867,0.01754,0.005402,0.064053,0
99,3.3,130.9412,62.548,0.02333,0.026014,0.01754,0.005486,0.054823,0
100,3.3333,130.9539,62.5402,0.02326,0.025685,0.01754,0.007083,0.063208,0
101,3.3667,130.8787,62.6027,0.023311,0.025882,0.01754,0.004997,0.05115,0
102,3.4,130.911,62.5808,0.023443,0.026029,0.01786,0.007283,0.087652,0
103,3.4333,130.7438,62.6898,0.023402,0.026244,0.017538,0.010699,0.072393,0
104,3.4667,130.6709,62.6904,0.023456,0.026367,0.017538,0.005414,0.046563,0
105,3.5,130.6665,62.7214,0.023389,0.026224,0.01754,0.005136,0.043755,0
106,3.5333,130.647,62.6766,0.023301,0.026213,0.017485,0.006752,0.037628,0
107,3.5667,130.5893,62.6525,0.023387,0.026202,0.017488,0.004791,0.054792,0
108,3.6,130.5969,62.7015,0.023333,0.026086,0.017488,0.006944,0.034613,0
109,3.6333,130.6555,62.6046,0.023216,0.026014,0.017485,0.007035,0.066071,0
110,3.6667,130.5743,62.6786,0.023291,0.026033,0.017485,0.004779,0.066192,0
111,3.7,130.6345,62.5539,0.023303,0.025963,0.017488,0.007899,0.06167,0
112,3.7333,130.5706,62.5779,0.023281,0.025948,0.017488,0.005062,0.036344,0
113,3.7667,130.5833,62.5066,0.023262,0.025748,0.017485,0.006074,0.030862,0
114,3.8,130.533,62.5312,0.02322,0.025693,0.017485,0.00605,0.02447,0
115,3.8333,130.476,62.4916,0.023266,0.02586,0.017579,0.005246,0.033047,0
116,3.8667,130.464,62.5371,0.023305,0.026022,0.017632,0.003881,0.022458,0
117,3.9,130.2561,62.6324,0.023239,0.025786,0.017477,0.00772,0.046199,0
