frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
119,3.9667,55.7245,30.504,0.019883,0.0,0.0,0.004621,0.00462,0
120,4.0,55.7027,30.4918,0.019887,0.0,0.0,0.005858,0.008897,0
121,4.0333,55.7239,30.525,0.019822,0.0,0.0,0.005051,0.007445,0
122,4.0667,55.7709,30.5092,0.019842,0.0,0.0,0.008111,0.033683,0
123,4.1,55.7713,30.4977,0.019883,0.0,0.0,0.006149,0.005426,0
124,4.1333,55.7547,30.5002,0.019903,0.0,0.0,0.00424,0.022231,0
125,4.1667,55.7615,30.4671,0.01985,0.0,0.0,0.004126,0.029596,0
126,4.2,55.7523,30.4706,0.019807,0.0,0.0,0.005898,0.008535,0
127,4.2333,55.7544,30.4949,0.019835,0.0,0.0,0.002871,0.00766,0
128,4.2667,55.8058,30.4948,0.019593,0.0,0.0,0.016536,0.057321,0
129,4.3,55.836,30.5486,0.019496,0.0,0.0,0.004411,0.012228,0
130,4.3333,55.9117,30.5853,0.019429,0.0,0.0,0.005597,0.015583,0
131,4.3667,55.8328,30.5467,0.019576,0.0,0.0,0.006493,0.022301,0
132,4.4,55.9509,30.5682,0.01931,0.0,0.0,0.029748,0.079681,0
133,4.4333,55.9522,30.5877,0.019269,0.0,0.0,0.003931,0.012751,0
134,4.4667,55.9498,30.5675,0.019343,0.0,0.0,0.004824,0.014286,0
135,4.5,55.8785,30.4936,0.019627,0.0,0.0,0.01325,0.032741,0
136,4.5333,55.7841,30.4657,0.019932,0.0,0.0,0.011473,0.028678,0
137,4.5667,55.7925,30.4577,0.019988,0.0,0.0,0.005151,0.016946,0
138,4.6,55.7929,30.5037,0.019875,0.0,0.0,0.005534,0.007176,0
139,4.6333,55.7639,30.4556,0.019897,0.0,0.0,0.005738,0.011928,0
140,4.6667,55.7722,30.5309,0.019734,0.0,0.0,0.007625,0.026255,0
141,4.7,55.7618,30.5532,0.019772,0.0,0.0,0.007136,0.008538,0
142,4.7333,55.7551,30.5251,0.019764,0.0,0.0,0.019345,0.049908,0
143,4.7667,55.8031,30.4923,0.019831,0.0,0.0,0.006914,0.019106,0
144,4.8,55.8117,30.4853,0.019903,0.0,0.0,0.009112,0.023113,0
145,4.8333,55.796,30.5352,0.020007,0.0,0.0,0.018422,0.039477,0
146,4.8667,55.739,30.5376,0.019993,0.0,0.0,0.006365,0.0158,0
147,4.9,55.7346,30.5408,0.019979,0.0,0.0,0.002796,0.004281,0
148,4.9333,55.7588,30.5224,0.019913,0.0,0.0,0.007375,0.012161,0
149,4.9667,55.7831,30.6692,0.020087,0.0,0.0,0.007536,0.020186,0
150,5.0,55.8195,30.6875,0.020216,0.0,0.0,0.009136,0.020424,0
151,5.0333,55.8287,30.7113,0.020201,0.0,0.0,0.006086,0.010867,0
152,5.0667,55.8101,30.7122,0.020138,0.0,0.0,0.005742,0.01233,0
153,5.1,55.8145,30.7393,0.020273,0.0,0.0,0.004937,0.01793,0
154,5.1333,55.8496,30.883,0.020224,0.0,0.0,0.006743,0.013803,0
155,5.1667,55.8725,30.9291,0.020307,0.0,0.0,0.009049,0.022728,0
156,5.2,55.877,30.9361,0.020279,0.0,0.0,0.004712,0.004528,0
157,5.2333,55.922,31.0334,0.020513,0.0,0.0,0.00753,0.023597,0
158,5.2667,55.9696,31.0752,0.020595,0.0,0.0,0.004403,0.023177,0
159,5.3,55.9892,31.1195,0.020572,0.0,0.0,0.007564,0.015593,0
160,5.3333,55.9936,31.1295,0.020636,0.0,0.0,0.008577,0.010814,0
161,5.3667,55.9847,31.1306,0.020687,0.0,0.0,0.002315,0.016837,0
162,5.4,56.0319,31.2846,0.020815,0.0,0.0,0.005773,0.024561,0
163,5.4333,56.0774,31.3663,0.020802,0.0,0.0,0.007834,0.018864,0
164,5.4667,56.111,31.386,0.02106,0.0,0.0,0.008985,0.020956,0
165,5.5,56.0987,31.392,0.020979,0.0,0.0,0.003566,0.00805,0
166,5.5333,56.1031,31.3846,0.020898,0.0,0.0,0.005972,0.017723,0
167,5.5667,56.1102,31.451,0.021113,0.0,0.0,0.004765,0.009608,0
168,5.6,56.1176,31.4991,0.021145,0.0,0.0,0.00569,0.011949,0
169,5.6333,56.143,31.486,0.021146,0.0,0.0,0.007236,0.011506,0
170,5.6667,56.1496,31.4774,0.021255,0.0,0.0,0.004088,0.007153,0
171,5.7,56.184,31.5086,0.021278,0.0,0.0,0.006661,0.012149,0
172,5.7333,56.1963,31.5779,0.021427,0.0,0.0,0.006595,0.021162,0
173,5.7667,56.1947,31.5955,0.021447,0.0,0.0,0.005503,0.007805,0
174,5.8,56.2011,31.6584,0.021349,0.0,0.0,0.005018,0.00958,0
175,5.8333,56.1965,31.7523,0.02124,0.0,0.0,0.00775,0.010125,0
176,5.8667,56.1873,31.7618,0.021219,0.0,0.0,0.004166,0.0067,0
177,5.9,56.2133,31.7468,0.021204,0.0,0.0,0.007665,0.028344,0
178,5.9333,56.2757,31.7241,0.021371,0.0,0.0,0.005568,0.012172,0
179,5.9667,56.2435,31.7407,0.021359,0.0,0.0,0.004975,0.028269,0
180,6.0,56.2456,31.7395,0.021336,0.0,0.0,0.003343,0.003267,0
181,6.0333,56.2034,31.7325,0.021359,0.0,0.0,0.007931,0.013971,0
182,6.0667,56.2106,31.7584,0.021216,0.0,0.0,0.004321,0.008849,0
183,6.1,56.2581,31.8114,0.020959,0.0,0.0,0.018441,0.052277,0
184,6.1333,56.3017,31.8582,0.020924,0.0,0.0,0.006,0.0191,0
185,6.1667,56.3701,31.8375,0.020878,0.0,0.0,0.005531,0.023647,0
186,6.2,56.3735,31.8096,0.021149,0.0,0.0,0.011686,0.054888,0
187,6.2333,56.4253,31.9063,0.020828,0.0,0.0,0.013746,0.07337,0
188,6.2667,56.4436,32.0083,0.02076,0.0,0.0,0.005674,0.018467,0
189,6.3,56.3776,31.8821,0.020992,0.0,0.0,0.006263,0.020669,0
190,6.3333,56.2677,31.8993,0.020931,0.0,0.0,0.017551,0.045469,0
191,6.3667,56.2551,31.8577,0.021092,0.0,0.0,0.010785,0.031604,0
192,6.4,56.2318,31.8755,0.021463,0.0,0.0,0.007931,0.036327,0
193,6.4333,56.2689,31.8384,0.021498,0.0,0.0,0.006442,0.018946,0
194,6.4667,56.2756,31.8737,0.021471,0.0,0.0,0.005951,0.015991,0
195,6.5,56.2708,31.8651,0.021546,0.0,0.0,0.004759,0.027909,0
196,6.5333,56.2671,31.8638,0.021522,0.0,0.0,0.004703,0.00661,0
197,6.5667,56.2264,31.8532,0.021552,0.0,0.0,0.006224,0.010993,0
198,6.6,56.2253,31.8809,0.021626,0.0,0.0,0.006096,0.021527,0
199,6.6333,56.2496,31.8832,0.021682,0.0,0.0,0.007423,0.020307,0
200,6.6667,56.2597,31.9089,0.021733,0.0,0.0,0.004879,0.005991,0
201,6.7,56.2445,31.9,0.021663,0.0,0.0,0.005277,0.014516,0
202,6.7333,56.2299,31.923,0.021735,0.0,0.0,0.005248,0.008164,0
203,6.7667,56.2427,31.9054,0.02175,0.0,0.0,0.0053,0.010175,0
204,6.8,56.2417,31.9266,0.02171,0.0,0.0,0.007244,0.00588,0
205,6.8333,56.235,31.8651,0.021698,0.0,0.0,0.018855,0.041293,0
206,6.8667,56.2528,31.8946,0.021702,0.0,0.0,0.007382,0.016279,0
207,6.9,56.2498,31.9974,0.021665,0.0,0.0,0.01826,0.036463,0
208,6.9333,56.229,31.9511,0.021753,0.0,0.0,0.00528,0.012348,0
209,6.9667,56.2375,31.9566,0.021666,0.0,0.0,0.005938,0.013139,0
210,7.0,56.2247,31.9319,0.021836,0.0,0.0,0.005991,0.008305,0
211,7.0333,56.2403,31.9979,0.021875,0.0,0.0,0.004968,0.009127,0
212,7.0667,56.2644,32.015,0.021836,0.0,0.0,0.005356,0.013116,0
213,7.1,56.2841,31.9866,0.021902,0.0,0.0,0.006109,0.012019,0
214,7.1333,56.3014,31.9687,0.021847,0.0,0.0,0.00444,0.018863,0
215,7.1667,56.2912,31.934,0.021932,0.0,0.0,0.00469,0.012215,0
216,7.2,56.2688,31.9649,0.021985,0.0,0.0,0.004327,0.01901,0
217,7.2333,56.2763,31.9938,0.021948,0.0,0.0,0.004749,0.007389,0
218,7.2667,56.2784,32.023,0.02193,0.0,0.0,0.004231,0.008959,0
219,7.3,56.2885,32.0081,0.021933,0.0,0.0,0.004757,0.011861,0
220,7.3333,56.3007,32.0325,0.021998,0.0,0.0,0.005118,0.013263,0
221,7.3667,56.306,32.0093,0.021908,0.0,0.0,0.004816,0.014254,0
222,7.4,56.2912,31.9976,0.022046,0.0,0.0,0.003508,0.009349,0
223,7.4333,56.2975,32.0189,0.022006,0.0,0.0,0.005452,0.011064,0
224,7.4667,56.2982,32.1787,0.022098,0.0,0.0,0.007658,0.012855,0
225,7.5,56.3224,32.2307,0.022117,0.0,0.0,0.004616,0.013505,0
226,7.5333,56.3461,32.267,0.022179,0.0,0.0,0.00798,0.023435,0
227,7.5667,56.3712,32.278,0.022122,0.0,0.0,0.003904,0.020588,0
228,7.6,56.3696,32.327,0.022194,0.0,0.0,0.005385,0.020825,0
229,7.6333,56.3572,32.3907,0.022228,0.0,0.0,0.004777,0.011002,0
230,7.6667,56.3619,32.3877,0.022234,0.0,0.0,0.00464,0.00773,0
231,7.7,56.2768,32.0377,0.021957,0.0,0.0,0.00801,0.013997,0
232,7.7333,56.2843,32.0162,0.021979,0.0,0.0,0.00384,0.007456,0
233,7.7667,56.3168,32.0063,0.021926,0.0,0.0,0.006542,0.028624,0
234,7.8,56.3017,32.0374,0.021896,0.0,0.0,0.004407,0.028836,0
235,7.8333,56.2835,32.0153,0.021959,0.0,0.0,0.004775,0.010356,0
236,7.8667,56.3022,31.9902,0.021921,0.0,0.0,0.004709,0.023897,0
237,7.9,56.3266,32.148,0.022043,0.0,0.0,0.004687,0.006524,0
238,7.9333,56.3361,32.2764,0.021926,0.0,0.0,0.006052,0.013866,0
239,7.9667,56.3548,32.3285,0.02196,0.0,0.0,0.005624,0.014104,0
240,8.0,56.3903,32.3631,0.021944,0.0,0.0,0.005276,0.018702,0
241,8.0333,56.401,32.3021,0.02206,0.0,0.0,0.005494,0.018357,0
242,8.0667,56.4045,32.3027,0.02212,0.0,0.0,0.003805,0.010121,0
243,8.1,56.4048,32.3367,0.022012,0.0,0.0,0.004509,0.006523,0
244,8.1333,56.4034,32.3247,0.022055,0.0,0.0,0.001375,0.00307,0
245,8.1667,56.3971,32.3125,0.022042,0.0,0.0,0.005601,0.012651,0
246,8.2,56.3907,32.285,0.02211,0.0,0.0,0.006382,0.016102,0
247,8.2333,56.4102,32.3883,0.022206,0.0,0.0,0.004749,0.016044,0
248,8.2667,56.4273,32.4655,0.02219,0.0,0.0,0.004915,0.025202,0
249,8.3,56.4183,32.5161,0.022195,0.0,0.0,0.006827,0.02153,0
250,8.3333,56.4158,32.5566,0.022283,0.0,0.0,0.004114,0.010346,0
251,8.3667,56.4402,32.5788,0.022295,0.0,0.0,0.004816,0.023759,0
252,8.4,56.4496,32.6321,0.02223,0.0,0.0,0.004951,0.010102,0
253,8.4333,56.4563,32.6547,0.022318,0.0,0.0,0.007931,0.031279,0
254,8.4667,56.4595,32.657,0.022344,0.0,0.0,0.004376,0.003317,0
255,8.5,56.4553,32.6994,0.022376,0.0,0.0,0.005889,0.023056,0
256,8.5333,56.4599,32.7731,0.0225,0.0,0.0,0.006735,0.011862,0
257,8.5667,56.4691,32.8334,0.022382,0.0,0.0,0.005978,0.009608,0
258,8.6,56.4721,32.8449,0.02244,0.0,0.0,0.011856,0.012479,0
259,8.6333,56.487,32.8632,0.022433,0.0,0.0,0.003599,0.008063,0
260,8.6667,56.5092,32.9297,0.02246,0.0,0.0,0.006723,0.0193,0
261,8.7,56.5072,32.9135,0.022526,0.0,0.0,0.003909,0.005922,0
262,8.7333,56.5016,32.9332,0.02252,0.0,0.0,0.005678,0.014445,0
263,8.7667,56.4849,32.9207,0.0225,0.0,0.0,0.00454,0.005979,0
264,8.8,56.491,32.9114,0.022488,0.0,0.0,0.00355,0.01518,0
265,8.8333,56.4712,32.9512,0.022527,0.0,0.0,0.004828,0.022962,0
266,8.8667,56.5463,33.0273,0.022334,0.0,0.0,0.01864,0.049974,0
267,8.9,56.6379,33.1072,0.022176,0.0,0.0,0.006507,0.022057,0
268,8.9333,56.579,33.1133,0.022294,0.0,0.0,0.006368,0.01861,0
269,8.9667,56.6827,33.1241,0.022106,0.0,0.0,0.010734,0.072885,0
270,9.0,56.7049,33.1993,0.021985,0.0,0.0,0.004681,0.013925,0
271,9.0333,56.702,33.2295,0.022158,0.0,0.0,0.005337,0.027972,0
272,9.0667,56.683,33.2109,0.022301,0.0,0.0,0.005595,0.023027,0
273,9.1,56.5188,33.2312,0.022578,0.0,0.0,0.0179,0.069329,0
274,9.1333,56.5647,33.1273,0.022562,0.0,0.0,0.01837,0.045618,0
275,9.1667,56.6468,33.2586,0.022321,0.0,0.0,0.006332,0.025782,0
276,9.2,56.6558,33.3055,0.022466,0.0,0.0,0.00485,0.008157,0
277,9.2333,56.5418,33.2606,0.0229,0.0,0.0,0.018085,0.062129,0
278,9.2667,56.5569,33.2752,0.022794,0.0,0.0,0.004466,0.008761,0
279,9.3,56.5698,33.2942,0.022927,0.0,0.0,0.007854,0.017893,0
280,9.3333,56.5651,33.2722,0.02299,0.0,0.0,0.0039,0.006035,0
281,9.3667,56.5681,33.2852,0.023004,0.0,0.0,0.0017,0.006415,0
282,9.4,56.5558,33.2969,0.02288,0.0,0.0,0.006098,0.020666,0
283,9.4333,56.6528,33.2871,0.022976,0.0,0.0,0.035014,0.022201,0
284,9.4667,56.6548,33.3177,0.022896,0.0,0.0,0.007471,0.006016,0
285,9.5,56.6768,33.3428,0.022941,0.0,0.0,0.007625,0.011018,0
286,9.5333,56.6804,33.3307,0.023033,0.0,0.0,0.004486,0.012864,0
287,9.5667,56.6804,33.3276,0.023043,0.0,0.0,0.000544,0.000994,0
288,9.6,56.6706,33.2871,0.023036,0.0,0.0,0.006463,0.027674,0
289,9.6333,56.6602,33.289,0.02301,0.0,0.0,0.004,0.004869,0
290,9.6667,56.6832,33.4044,0.023098,0.0,0.0,0.004369,0.02305,0
291,9.7,56.692,33.4279,0.023047,0.0,0.0,0.00648,0.0109,0
292,9.7333,56.7082,33.4497,0.023106,0.0,0.0,0.005879,0.01065,0
293,9.7667,56.7279,33.5422,0.023154,0.0,0.0,0.005097,0.015754,0
294,9.8,56.725,33.5326,0.023098,0.0,0.0,0.004308,0.004936,0
295,9.8333,56.7206,33.4962,0.023136,0.0,0.0,0.004633,0.016299,0
296,9.8667,56.7182,33.5129,0.023121,0.0,0.0,0.004265,0.007091,0
297,9.9,56.7144,33.5248,0.023131,0.0,0.0,0.005582,0.006794,0
298,9.9333,56.7301,33.5377,0.023015,0.0,0.0,0.006024,0.010331,0
299,9.9667,56.7371,33.5348,0.02311,0.0,0.0,0.005328,0.01142,0
300,10.0,56.7564,33.5223,0.023099,0.0,0.0,0.004939,0.011827,0
301,10.0333,56.7578,33.5062,0.023111,0.0,0.0,0.00414,0.013311,0
302,10.0667,56.7414,33.489,0.023141,0.0,0.0,0.004337,0.007577,0
303,10.1,56.7382,33.494,0.023003,0.0,0.0,0.004544,0.008612,0
304,10.1333,56.7289,33.5239,0.023118,0.0,0.0,0.004867,0.00841,0
305,10.1667,56.7227,33.5371,0.02314,0.0,0.0,0.005113,0.009859,0
306,10.2,56.7499,33.5414,0.023061,0.0,0.0,0.003295,0.021057,0
307,10.2333,56.7735,33.5481,0.023111,0.0,0.0,0.005561,0.0211,0
308,10.2667,56.7471,33.5895,0.023145,0.0,0.0,0.003168,0.019787,0
309,10.3,56.7379,33.5622,0.023054,0.0,0.0,0.005824,0.011303,0
310,10.3333,56.7269,33.5259,0.023159,0.0,0.0,0.004841,0.009106,0
311,10.3667,56.7305,33.5296,0.023107,0.0,0.0,0.006052,0.004771,0
312,10.4,56.7282,33.5461,0.023226,0.0,0.0,0.009314,0.009226,0
313,10.4333,56.7347,33.537,0.023172,0.0,0.0,0.007689,0.008792,0
314,10.4667,56.7622,33.5334,0.02305,0.0,0.0,0.006788,0.018015,0
315,10.5,56.7544,33.5237,0.023095,0.0,0.0,0.005441,0.008832,0
316,10.5333,56.7504,33.5353,0.023114,0.0,0.0,0.004284,0.007877,0
317,10.5667,56.5982,33.2617,0.023435,0.0,0.0,0.04416,0.027707,0
318,10.6,56.6008,33.3084,0.023349,0.0,0.0,0.015603,0.006367,0
319,10.6333,56.5977,33.3065,0.023349,0.0,0.0,0.0094,0.012548,0
320,10.6667,56.6146,33.3737,0.023185,0.0,0.0,0.005746,0.010813,0
321,10.7,56.6241,33.3324,0.023285,0.0,0.0,0.007487,0.019981,0
322,10.7333,56.6358,33.3302,0.023282,0.0,0.0,0.003502,0.006262,0
323,10.7667,56.6162,33.3661,0.023353,0.0,0.0,0.005671,0.014673,0
324,10.8,56.6513,33.3171,0.023437,0.0,0.0,0.005717,0.011292,0
325,10.8333,56.666,33.2859,0.023397,0.0,0.0,0.005922,0.022321,0
326,10.8667,56.6753,33.308,0.023373,0.0,0.0,0.005114,0.007693,0
327,10.9,56.6388,33.3348,0.0234,0.0,0.0,0.006652,0.025426,0
328,10.9333,56.6511,33.291,0.023457,0.0,0.0,0.006272,0.013917,0
